pr_name,pr_adcode,short_name,lon,lat
北京市,110000,北京,116.6,40.3
天津市,120000,天津,117.2,39.4
河北省,130000,河北,115.7,39.3
山西省,140000,山西,112.5,37.7
内蒙古自治区,150000,内蒙古,118.3,45.4
辽宁省,210000,辽宁,122.4,41.1
吉林省,220000,吉林,126.1,43.6
黑龙江省,230000,黑龙江,127.6,48.5
上海市,310000,上海,121.4,31.1
江苏省,320000,江苏,120.0,32.9
浙江省,330000,浙江,119.8,29.2
安徽省,340000,安徽,117.2,32.0
福建省,350000,福建,118.0,25.9
江西省,360000,江西,115.5,27.3
山东省,370000,山东,118.0,36.3
河南省,410000,河南,113.1,33.9
湖北省,420000,湖北,112.9,31.2
湖南省,430000,湖南,111.4,27.4
广东省,440000,广东,113.5,22.9
广西壮族自治区,450000,广西,109.0,23.9
海南省,460000,海南,109.6,19.2
重庆市,500000,重庆,107.9,30.2
四川省,510000,四川,102.3,30.2
贵州省,520000,贵州,106.6,26.9
云南省,530000,云南,101.3,25.2
西藏自治区,540000,西藏,87.5,31.7
陕西省,610000,陕西,109.6,35.6
甘肃省,620000,甘肃,102.9,37.7
青海省,630000,青海,95.9,35.4
宁夏回族自治区,640000,宁夏,106.0,37.3
新疆维吾尔自治区,650000,新疆,87.2,41.8
台湾省,710000,台湾,120.8,23.6
香港特别行政区,810000,香港,114.1,22.4
澳门特别行政区,820000,澳门,113.6,22.2
